iter	Passed	Remaining
0	2	2599
1	5	2628
2	8	2678
3	10	2671
4	14	2787
5	17	2824
6	19	2819
7	22	2796
8	25	2772
9	27	2756
10	31	2789
11	34	2818
12	37	2812
13	39	2801
14	42	2797
15	45	2803
16	49	2833
17	51	2817
18	54	2804
19	56	2791
20	59	2783
21	62	2787
22	65	2788
23	68	2784
24	71	2780
25	73	2771
26	76	2759
27	80	2778
28	83	2781
29	85	2769
30	88	2768
31	91	2760
32	94	2761
33	97	2768
34	100	2767
35	103	2761
36	105	2755
37	108	2750
38	111	2754
39	115	2764
40	117	2758
41	120	2751
42	123	2746
43	126	2741
44	130	2767
45	133	2761
46	136	2760
47	138	2752
48	142	2758
49	145	2755
50	147	2753
51	150	2746
52	153	2739
53	156	2737
54	159	2733
55	162	2737
56	165	2740
57	168	2735
58	171	2729
59	173	2723
60	177	2730
61	180	2725
62	183	2722
63	185	2716
64	188	2715
65	193	2732
66	196	2733
67	199	2730
68	202	2725
69	205	2724
70	208	2733
71	212	2735
72	215	2732
73	218	2728
74	221	2726
75	224	2731
76	227	2731
77	230	2730
78	233	2724
79	236	2718
80	239	2712
81	242	2710
82	245	2708
83	247	2704
84	251	2704
85	253	2698
86	258	2709
87	260	2702
88	263	2696
89	266	2692
90	269	2691
91	272	2692
92	276	2694
93	278	2687
94	281	2680
95	284	2679
96	287	2673
97	290	2673
98	293	2670
99	296	2665
100	298	2660
101	301	2654
102	304	2655
103	308	2658
104	311	2652
105	313	2647
106	316	2643
107	319	2638
108	322	2636
109	325	2636
110	328	2631
111	331	2627
112	334	2625
113	337	2624
114	340	2622
115	343	2616
116	345	2611
117	348	2607
118	351	2603
119	354	2601
120	357	2598
121	360	2593
122	363	2588
123	365	2584
124	368	2581
125	371	2578
126	374	2576
127	378	2575
128	380	2571
129	383	2566
130	386	2564
131	389	2564
132	393	2563
133	395	2558
134	398	2553
135	401	2553
136	405	2552
137	408	2548
138	410	2544
139	413	2539
140	416	2535
141	419	2533
142	422	2530
143	425	2526
144	427	2522
145	430	2519
146	433	2517
147	436	2514
148	439	2510
149	442	2506
150	444	2501
151	448	2502
152	451	2500
153	454	2497
154	457	2495
155	460	2490
156	463	2486
157	466	2484
158	469	2482
159	472	2478
160	474	2474
161	477	2470
162	480	2466
163	483	2463
164	486	2461
165	489	2457
166	491	2453
167	494	2449
168	497	2445
169	500	2443
170	503	2440
171	506	2436
172	508	2432
173	511	2428
174	515	2428
175	518	2426
176	521	2422
177	523	2419
178	526	2415
179	529	2411
180	532	2409
181	535	2405
182	537	2401
183	540	2397
184	543	2393
185	546	2390
186	549	2387
187	552	2385
188	555	2381
189	557	2377
190	560	2373
191	563	2371
192	567	2371
193	569	2367
194	572	2362
195	575	2359
196	577	2355
197	581	2355
198	584	2352
199	587	2348
200	590	2345
201	592	2341
202	595	2339
203	599	2338
204	601	2333
205	604	2330
206	607	2327
207	610	2323
208	613	2321
209	616	2318
210	619	2315
211	621	2311
212	624	2308
213	627	2305
214	630	2302
215	633	2299
216	636	2295
217	638	2291
218	641	2287
219	644	2285
220	648	2285
221	650	2280
222	653	2277
223	656	2273
224	659	2270
225	662	2270
226	666	2268
227	669	2265
228	671	2261
229	674	2258
230	677	2256
231	680	2253
232	683	2249
233	685	2245
234	688	2242
235	691	2239
236	695	2239
237	698	2236
238	701	2233
239	704	2229
240	706	2226
241	711	2229
242	714	2225
243	716	2221
244	719	2217
245	722	2214
246	725	2212
247	728	2209
248	731	2205
249	733	2201
250	736	2197
251	739	2194
252	742	2192
253	745	2189
254	748	2187
255	751	2183
256	753	2179
257	757	2177
258	760	2174
259	762	2171
260	765	2168
261	768	2164
262	771	2161
263	774	2159
264	777	2156
265	780	2153
266	783	2152
267	786	2149
268	790	2147
269	793	2144
270	796	2142
271	799	2139
272	802	2135
273	805	2133
274	808	2131
275	811	2128
276	814	2125
277	817	2122
278	820	2119
279	822	2116
280	825	2112
281	828	2109
282	831	2105
283	833	2101
284	836	2098
285	839	2096
286	842	2092
287	845	2089
288	847	2086
289	850	2082
290	853	2079
291	856	2076
292	859	2074
293	862	2071
294	865	2068
295	868	2064
296	871	2062
297	874	2059
298	876	2055
299	879	2052
300	882	2048
301	885	2045
302	888	2043
303	891	2040
304	893	2036
305	896	2033
306	900	2033
307	903	2030
308	906	2028
309	909	2025
310	912	2022
311	915	2018
312	918	2016
313	921	2013
314	924	2010
315	927	2007
316	929	2003
317	932	2000
318	935	1997
319	938	1994
320	941	1991
321	944	1988
322	947	1985
323	950	1982
324	953	1980
325	956	1976
326	959	1974
327	961	1970
328	964	1967
329	967	1964
330	970	1962
331	973	1959
332	976	1955
333	979	1952
334	982	1949
335	985	1947
336	988	1944
337	991	1941
338	994	1938
339	996	1934
340	999	1932
341	1003	1930
342	1005	1926
343	1008	1923
344	1011	1920
345	1014	1916
346	1017	1914
347	1019	1910
348	1022	1907
349	1025	1903
350	1027	1900
351	1030	1897
352	1033	1894
353	1036	1891
354	1039	1888
355	1042	1884
356	1044	1881
357	1047	1879
358	1051	1877
359	1053	1873
360	1056	1870
361	1059	1867
362	1062	1863
363	1065	1861
364	1068	1858
365	1071	1855
366	1073	1852
367	1077	1849
368	1080	1847
369	1083	1844
370	1086	1841
371	1088	1838
372	1091	1834
373	1094	1832
374	1097	1829
375	1100	1826
376	1103	1823
377	1107	1822
378	1112	1822
379	1114	1819
380	1117	1816
381	1120	1812
382	1123	1809
383	1126	1807
384	1129	1804
